# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
gong cheng shi 	工程師	c=3 d=1.99005 t=30036
gong gong 	公共	c=1 d=1 t=4946
gong guan 	攻關	c=1 d=1 t=12204
gong ji 	攻擊	c=1 d=1 t=10315
gong ju 	工具	c=18 d=1 t=43806
gong ju ren 	工具人	c=1 d=1 t=25249
gong kai 	公开	c=1 d=1 t=14348
gong neng 	功能	c=4 d=1 t=38599
gong shi 	公式	c=6 d=1.99005 t=35579
gong si 	公司	c=19 d=1 t=43675
gong xi 	恭喜	c=1 d=1 t=32395
gong xian 	貢獻	c=1 d=1 t=20669
gong xiang 	共享	c=8 d=1.0382 t=32976
gong yao 	公鑰	c=1 d=1 t=3
gong yong 	公用	c=1 d=1 t=44221
gong yong 	共用	c=2 d=1 t=34506
gong yue shu 	公約數	c=1 d=1 t=32224
gong zuo 	工作	c=25 d=1 t=43075
gong zuo ri 	工作日	c=1 d=1 t=34920
gong zuo zu 	工作組	c=1 d=1 t=41442
gou 	够	c=1 d=1 t=34160
gou 	沟	c=1 d=1 t=34288
gou 	购	c=1 d=0.312248 t=31153
gou cheng 	構成	c=1 d=1 t=14208
gou jian 	構建	c=14 d=1.98727 t=28987
gou ou guan 	购歐冠	c=1 d=1 t=31154
gou tong 	溝通	c=1 d=1 t=26319
gou zao 	構造	c=1 d=1 t=38281
gou zhi 	購置	c=1 d=1 t=30931
gu 	股	c=8 d=1.98511 t=34285
gu ding 	固定	c=5 d=1.74082 t=42572
gu fen 	股份	c=7 d=1.55711 t=11516
gu ge 	谷歌	c=19 d=0.980199 t=44474
gu ji 	估計	c=42 d=1.00527 t=44022
gu ji shi 	估計是	c=1 d=1 t=38321
gu jia 	股價	c=3 d=1 t=13036
gu jian 	固件	c=2 d=1 t=36458
gu li 	孤立	c=1 d=1 t=6693
gu piao 	股票	c=17 d=1.00127 t=37068
gu shi 	股市	c=1 d=1 t=13082
gu wu 	鼓舞	c=1 d=1 t=33936
gu zhang 	故障	c=1 d=1 t=11307
gu zhi 	估值	c=2 d=1 t=35163
gua 	挂	c=21 d=1.27482 t=43230
gua diao 	掛掉	c=7 d=1.00016 t=20022
gua diao le 	掛掉了	c=4 d=1 t=37524
gua gou 	掛鉤	c=1 d=1 t=17920
gua le 	掛了	c=42 d=1.00678 t=42007
gua zai 	掛在	c=4 d=1 t=32089
gua zai 	掛載	c=3 d=2.57724 t=43393
gua zhe 	掛着	c=1 d=1 t=9745
gua zhu 	寡助	c=1 d=1 t=24835
guai bu de 	怪不得	c=1 d=1 t=25088
guan 	管	c=2 d=1 t=41660
guan bi 	關閉	c=12 d=1.00148 t=43383
guan diao 	關掉	c=2 d=1 t=42260
guan fang 	官方	c=1 d=1 t=30668
guan ji 	關機	c=3 d=1.55341 t=42541
guan jia 	管家	c=1 d=1 t=40771
guan jian 	關鍵	c=4 d=1 t=29719
guan jian zi 	關鍵字	c=3 d=2.14295 t=11832
guan le 	關了	c=3 d=1 t=42759
guan li 	慣例	c=1 d=1 t=33468
guan li 	管理	c=19 d=1 t=43330
guan li zhe 	管理者	c=1 d=1 t=34677
guan men 	關門	c=1 d=1 t=43379
guan ta 	管他	c=1 d=1 t=41637
guan wang 	官網	c=1 d=1 t=35662
guan xi 	關係	c=21 d=1 t=44174
guan xin 	關心	c=2 d=1 t=38658
guan zhu 	關注	c=4 d=1.00001 t=38666
guang 	光	c=6 d=1 t=37471
guang chang 	廣場	c=1 d=1 t=31471
guang ke ji 	光刻机	c=1 d=1 t=43792
gui 	归	c=1 d=1 t=39234
gui 	贵	c=2 d=1.00021 t=43070
gui 	鬼	c=1 d=1 t=22495
gui bi 	規避	c=3 d=1 t=37514
gui bing 	歸併	c=4 d=1.0008 t=6110
gui dang 	歸檔	c=1 d=1 t=32912
gui fan 	規範	c=5 d=1 t=40536
gui fan hua 	規範化	c=1 d=1 t=29478
gui ge 	規格	c=2 d=1.95123 t=30926
gui hua 	規劃	c=1 d=1 t=34369
gui lv 	規律	c=1 d=1 t=4892
gui na 	歸納	c=1 d=1 t=23543
gui yi 	詭異	c=8 d=1 t=30584
gui yi hua 	归一化	c=6 d=2.06586 t=36415
gui ze 	規則	c=7 d=2.36089 t=29799
gui zheng 	規整	c=3 d=1.015 t=36639
gun 	滚	c=1 d=1 t=33875
gun dong 	滾動	c=3 d=1 t=34611
guo 	国	c=12 d=1.67076 t=39802
guo 	过	c=31 d=1 t=44049
guo 	郭	c=2 d=1 t=43078
guo 	锅	c=1 d=1 t=19962
guo bu le 	過不了	c=7 d=1 t=39666
guo cheng 	過程	c=20 d=1 t=42599
guo da 	過大	c=1 d=1 t=15208
guo ding 	國定	c=1 d=1 t=12789
guo du 	過渡	c=2 d=1.00039 t=10485
guo duan shi jian 	过段時間	c=1 d=1 t=30792
guo fen 	過分	c=1 d=1 t=27416
guo hua 	國華	c=13 d=1.36218 t=38367
guo ji 	國際	c=1 d=1 t=18857
guo jia 	國家	c=2 d=1 t=16275
guo lai 	過來	c=6 d=1 t=38111
guo le 	過了	c=7 d=1 t=26168
guo liang tian 	過兩天	c=2 d=1.00011 t=4336
guo lv 	过滤	c=3 d=1 t=37152
guo nei 	國內	c=3 d=1 t=33172
guo qi 	過期	c=1 d=1 t=39676
guo qu 	過去	c=4 d=1 t=41310
guo ran 	果然	c=2 d=1 t=38002
guo re 	過熱	c=1 d=1 t=12761
guo yao 	國藥	c=1 d=1 t=19255
guo yun 	國運	c=1 d=1 t=19853
ha 	哈	c=31 d=0.985817 t=44474
ha ha 	哈哈	c=42 d=1.54881 t=44050
ha ha ha 	哈哈哈	c=125 d=4.35388 t=43906
ha ha ha ha 	哈哈哈哈	c=17 d=1.00006 t=35646
hai 	海	c=1 d=1 t=18675
hai 	还	c=46 d=1.25729 t=42452
hai bu chu 	還不出	c=1 d=1 t=12491
hai bu cuo 	還不錯	c=1 d=1 t=12492
hai bu ru 	還不如	c=1 d=1 t=40912
hai bu shi 	還不是	c=1 d=1 t=39556
hai bu xing 	還不行	c=1 d=1 t=8838
hai cun zai 	还存在	c=2 d=1 t=28744
hai dai 	海帶	c=1 d=1 t=34421
hai hao 	還好	c=13 d=2.00003 t=44178
hai hui 	還會	c=1 d=1 t=31944
hai ke neng 	還可能	c=1 d=1 t=38244
hai ke yi 	還可以	c=4 d=1 t=40952
hai kong 	海空	c=1 d=1 t=20339
hai mei 	害莓	c=1 d=1 t=24463
hai mei 	還沒	c=22 d=1 t=42054
hai mei fa 	还沒法	c=1 d=1 t=41943
hai mei pao 	還沒跑	c=1 d=1 t=38169
hai mei you 	還沒有	c=4 d=2.15351 t=29477
hai neng 	還能	c=3 d=1 t=39469
hai shi 	還是	c=164 d=1.66065 t=44451
hai shi yao 	還是要	c=7 d=1 t=39429
hai shuo 	還說	c=1 d=1 t=33738
hai ti gong 	还提供	c=1 d=1 t=25801
hai xu yao 	還需要	c=7 d=1 t=43694
hai yao 	還要	c=22 d=1.00239 t=41428
hai yi wan 	海怡湾	c=1 d=1 t=35803
hai yong 	還用	c=1 d=1 t=7231
hai you 	還有	c=26 d=1.02424 t=38442
hai you ge 	還有個	c=6 d=1 t=42787
hai you shen me 	還有什麼	c=1 d=1 t=29131
hai you xie 	還有些	c=2 d=1 t=30756
hai you yi ge 	還有一個	c=1 d=1 t=33892
hai yun 	海運	c=1 d=1 t=18856
hai zai 	還在	c=11 d=1.00073 t=43866
hai zhen 	還真	c=1 d=1 t=43877
hai zhi chi 	还支持	c=1 d=1 t=40059
han 	汉	c=1 d=1 t=39929
han guo 	韓國	c=2 d=0.1 t=23777
han liang 	含量	c=1 d=1 t=39225
han shang 	喊上	c=1 d=1 t=12592
han shu 	函數	c=94 d=1.00001 t=44450
han shua 	喊耍	c=1 d=1 t=12877
han wu ji 	寒武紀	c=1 d=1 t=6877
han yi 	含義	c=1 d=1 t=39319
han zi 	漢字	c=1 d=1 t=2539
hang 	行	c=30 d=5.4573 t=42895
hang mu 	航母	c=2 d=1.01945 t=19844
hang ye 	行業	c=5 d=1 t=44151
hang zhou 	杭州	c=66 d=2.4581 t=43315
hao 	号	c=38 d=1.00025 t=42902
hao 	好	c=136 d=0.951229 t=44474
hao 	浩	c=7 d=2.85607 t=42483
hao ba 	好吧	c=7 d=1 t=40221
hao ban 	好辦	c=0 d=0.1 t=35296
hao chu 	好處	c=3 d=1.00037 t=15877
hao da 	好大	c=1 d=1 t=21463
hao de 	好的	c=5 d=1.08543 t=42069
hao dian 	耗電	c=1 d=1 t=35262
hao hao 	好好	c=4 d=1 t=34232
hao hen duo 	好很多	c=1 d=1 t=36006
hao hua 	豪華	c=3 d=2.81467 t=42186
hao ji ge 	好幾個	c=1 d=1 t=27558
hao jiu 	好久	c=2 d=1 t=43279
hao kan 	好看	c=2 d=1 t=31141
hao le 	好了	c=38 d=2.12918 t=43845
hao li jie 	好利洁	c=1 d=1 t=11558
hao ran 	浩然	c=1 d=1 t=25198
hao rao 	好绕	c=1 d=1 t=4515
hao shi 	耗時	c=1 d=1 t=13649
hao xiang 	好像	c=67 d=1 t=43872
hao xie 	好些	c=4 d=0.128725 t=36606
hao yi xie 	好一些	c=1 d=1 t=39368
hao yong 	好用	c=2 d=1 t=36088
hao zhai 	豪宅	c=2 d=1.93239 t=33873
hao zhi dao 	好知道	c=1 d=1 t=163
he 	何	c=1 d=1 t=8581
he 	合	c=12 d=1 t=42888
he 	和	c=230 d=2.27053 t=44245
he 	喝	c=1 d=1 t=39385
he 	河	c=1 d=1 t=767
he bing 	合併	c=10 d=1 t=38093
he fa 	合法	c=2 d=1.11025 t=26673
he fa xing 	合法性	c=3 d=1 t=10308
he jiu 	喝酒	c=1 d=1 t=15645
he li 	合理	c=1 d=1 t=28131
he ni 	和你	c=16 d=1.65377 t=38199
he ru 	合入	c=20 d=4.05085 t=44064
he ru 	喝入	c=2 d=1.93239 t=9023
he shi 	合適	c=6 d=1.00036 t=30967
he shi de 	合式的	c=1 d=1 t=19441
he ta 	和他	c=4 d=1 t=41131
he tun 	河豚	c=1 d=1 t=7692
he wo 	和我	c=19 d=1.09627 t=42252
he xin 	核心	c=12 d=1.04274 t=42612
he zai 	合在	c=4 d=1 t=44126
he zuo 	合作	c=1 d=1 t=35270
hei 	黑	c=2 d=1 t=31596
hei he 	黑盒	c=1 d=1 t=13575
hei mo fa 	黑魔法	c=1 d=1 t=40365
hen 	很	c=39 d=2.09079 t=44407
hen bu 	很不	c=0 d=0.1 t=29092
hen bu fang bian 	很不方便	c=1 d=1 t=29093
hen che dan 	很扯淡	c=1 d=1 t=33729
hen chou 	很醜	c=2 d=1 t=42044
hen cong ming 	很聰明	c=1 d=1 t=41222
hen da 	很大	c=8 d=1.99501 t=37948
hen duan 	很短	c=1 d=1 t=39335
hen dui 	很對	c=1 d=1 t=21470
hen duo 	很多	c=38 d=1 t=42816
hen duo ren 	很多人	c=2 d=1 t=43123
hen duo shi hou 	很多時候	c=2 d=1 t=38514
hen fan 	很煩	c=1 d=1 t=35701
hen fang bian 	很方便	c=4 d=1 t=33111
hen gao 	很高	c=2 d=1 t=34392
hen gao xing 	很高興	c=5 d=4.75003 t=44474
hen hao 	很好	c=6 d=1 t=40588
hen jian dan 	很簡單	c=4 d=1 t=38434
hen jiu 	很久	c=4 d=1 t=31116
hen ka 	很卡	c=2 d=1.98506 t=44474
hen kuai 	很快	c=7 d=1 t=38649
hen lan 	很爛	c=2 d=1.97045 t=35205
hen lao 	很老	c=1 d=1 t=1599
hen lei 	很累	c=0 d=0.1 t=14311
hen lei si 	很累斯	c=2 d=1.96079 t=14320
hen li xiang 	很理想	c=1 d=1 t=14383
hen luan 	很亂	c=1 d=1 t=1921
hen ma fan 	很麻煩	c=1 d=1 t=41977
hen man 	很慢	c=2 d=1 t=38912
hen nan 	很難	c=10 d=1 t=44257
hen niu pi 	很牛皮	c=1 d=1 t=33929
hen qi dai 	很期待	c=1 d=1 t=30942
hen qi guai 	很奇怪	c=21 d=1 t=41211
hen qing chu 	很清楚	c=1 d=1 t=5649
hen rong yi 	很容易	c=5 d=1.11025 t=33617
hen sha 	很傻	c=1 d=1 t=41187
hen shao 	很少	c=3 d=1 t=29642
hen sheng 	恨生	c=1 d=1 t=8565
hen xiao de 	很小的	c=1 d=1 t=10334
hen yi lai 	很依賴	c=1 d=1 t=28831
hen za 	很杂	c=2 d=1 t=41007
hen zao 	很早	c=3 d=1 t=36961
hen zheng chang 	很正常	c=1 d=1 t=21877
hen zhong 	很重	c=1 d=1 t=16195
heng li ye ya 	恒力液压	c=1 d=1 t=33580
heng shun 	恒顺	c=1 d=1 t=5800
hong 	哄	c=1 d=1 t=31616
hong 	宏	c=21 d=1.00023 t=40205
hong 	洪	c=1 d=1 t=37340
hong 	红	c=3 d=1 t=13079
hong se 	红色	c=1 d=1 t=16551
hou 	后	c=14 d=1 t=38706
hou 	吼	c=1 d=1 t=33781
hou ci bo bi 	厚此薄彼	c=1 d=1 t=35278
hou duan 	後端	c=3 d=1 t=29060
hou hui 	後悔	c=1 d=1 t=335
hou lai 	後來	c=5 d=1.02182 t=39723
hou ma ne 	侯马呢	c=1 d=1 t=6359
hou mei 	后没	c=2 d=1 t=41949
hou mian 	後面	c=87 d=2.00044 t=44349
hou qi 	後期	c=1 d=1 t=14647
hou tai 	後臺	c=8 d=1 t=42924
hou xu 	後續	c=26 d=1 t=42585
hou xuan 	候選	c=1 d=1 t=14253
hou zhi 	後知	c=1 d=1 t=33330
hou zhui 	後綴	c=2 d=1.87372 t=36579
hou zhui ming 	後綴名	c=1 d=1 t=6917
hu 	乎	c=5 d=1 t=42106
hu 	胡	c=1 d=1 t=24627
hu 	虎	c=2 d=1.63445 t=20456
hu lian wang 	互聯網	c=1 d=1 t=12985
hu lue 	忽略	c=2 d=1 t=33007
hu ni 	呼你	c=1 d=1 t=23987
hu ran 	忽然	c=2 d=1 t=43170
hu shen 	滬深	c=6 d=1.00016 t=34972
hu xiang 	互相	c=1 d=1 t=25664
hua 	划	c=1 d=1 t=9542
hua 	化	c=30 d=1.00146 t=40979
hua 	华	c=4 d=1 t=43036
hua 	画	c=2 d=1 t=17251
hua 	花	c=11 d=1.00005 t=37341
hua 	话	c=16 d=1.99379 t=42099
hua dong 	滑動	c=1 d=1 t=30762
hua er jie 	華爾街	c=1 d=1 t=14870
hua fen 	劃分	c=2 d=1 t=30603
hua hua cao cao 	花花草草	c=1 d=1 t=33865
hua jian 	化簡	c=1 d=1 t=41975
hua mian 	畫面	c=1 d=1 t=3306
hua ren 	華人	c=1 d=1 t=345
hua shuo 	華碩	c=2 d=1 t=43035
hua tu 	畫圖	c=2 d=1.99005 t=133
hua wei 	華爲	c=22 d=2.1348 t=43793
hua xia xing fu 	华夏幸福	c=1 d=1 t=10452
hua yuan 	花園	c=2 d=1.97531 t=630
huai diao 	壞掉	c=0 d=0.1 t=9789
huai diao le 	壞掉了	c=1 d=1 t=9790
huai le 	壞了	c=5 d=1.00053 t=43042
huai yi 	懷疑	c=9 d=1.03432 t=40362
huan 	换	c=19 d=1.0001 t=44314
huan 	环	c=1 d=1 t=5986
huan cheng 	換成	c=3 d=1 t=28174
huan cun 	緩存	c=4 d=1 t=28147
huan diao 	換掉	c=2 d=1 t=37553
huan ge 	換個	c=3 d=1 t=42556
huan hang 	換行	c=4 d=1 t=40772
huan jie 	環節	c=1 d=1 t=17521
huan jing 	環境	c=117 d=1.17267 t=44190
huan yi xia 	换一下	c=1 d=1 t=18750
huang 	慌	c=2 d=1 t=35114
huang jin 	黃金	c=1 d=1 t=41687
hui 	会	c=156 d=0.985112 t=44474
hui 	回	c=3 d=1 t=31915
hui 	汇	c=1 d=1 t=891
hui 	辉	c=21 d=1.95167 t=44338
hui ba 	會把	c=2 d=1 t=41948
hui bian 	彙編	c=7 d=1 t=37723
hui bu hui 	會不會	c=17 d=0.980199 t=44474
hui chuan 	匯川	c=3 d=2.7584 t=960
hui cun zai 	会存在	c=1 d=1 t=19398
hui ding 	汇顶	c=1 d=1 t=18947
hui dui 	會對	c=1 d=1 t=1031
hui fu 	恢復	c=17 d=1.00796 t=44470
hui fu le 	恢復了	c=1 d=1 t=16082
hui gei ge 	会給個	c=1 d=1 t=31043
hui gui 	回歸	c=1 d=1 t=14038
hui he 	匯合	c=1 d=1 t=35337
hui jia 	回家	c=2 d=1 t=40105
hui lai 	回來	c=6 d=1 t=43441
hui lai le 	回來了	c=2 d=1.00003 t=3436
hui lai le 	惠来了	c=1 d=1 t=1328
hui lv 	匯率	c=0 d=0.1 t=7312
hui ma qiang 	回馬槍	c=1 d=1 t=15237
hui pu 	惠普	c=1 d=1 t=34917
hui qu 	回去	c=1 d=1 t=18900
hui rang 	會讓	c=0 d=0.1 t=5854
hui shou 	回收	c=2 d=1 t=35505
hui tan 	會談	c=1 d=1 t=16192
hui tou 	回頭	c=1 d=1 t=40745
hui tu 	繪圖	c=3 d=1 t=31799
hui tui 	回退	c=10 d=1 t=34930
hui tui le 	回退了	c=1 d=1 t=30453
hui yi 	會議	c=5 d=3.71121 t=17581
hui yong dao 	会用到	c=1 d=1 t=38710
hui you 	會有	c=3 d=1.00233 t=30793
hui you xie 	会有些	c=4 d=1.00218 t=29417
hui zai 	會在	c=1 d=1 t=26025
hui zhi 	繪製	c=2 d=1 t=37780
hun 	混	c=2 d=1.09633 t=39250
hun 	魂	c=3 d=2.78062 t=33951
hun luan 	混亂	c=14 d=2.69308 t=44118
hun ri zi 	混日子	c=1 d=1 t=20641
hun xiao 	混淆	c=1 d=1 t=26546
hun yong 	昏庸	c=1 d=1 t=38781
hun yong 	混用	c=2 d=1 t=44250
huo 	伙	c=1 d=1 t=9782
huo 	活	c=2 d=1.01094 t=3116
huo bi 	貨幣	c=1 d=1 t=64
huo de 	獲得	c=6 d=1 t=19540
huo dong 	活動	c=1 d=1 t=38870
huo er 	活兒	c=3 d=1 t=24794
huo po 	活潑	c=1 d=1 t=1346
huo qu 	獲取	c=29 d=3.76184 t=42681
huo xing 	火星	c=3 d=1 t=16298
huo yao 	火藥	c=1 d=1 t=16194
huo yao wei 	火藥味	c=1 d=1 t=16263
huo zhe 	或者	c=32 d=1.00106 t=44185
ji 	及	c=1 d=1 t=10841
ji 	基	c=2 d=1 t=18684
ji 	寄	c=5 d=1.05156 t=43757
ji 	急	c=1 d=1 t=15241
ji ba 	雞巴	c=4 d=1 t=35152
ji ben 	基本	c=8 d=1 t=40561
ji bian 	幾遍	c=1 d=1 t=11048
ji bie 	級別	c=1 d=1 t=42618
ji ceng 	基層	c=2 d=1.08804 t=5448
ji chang 	機場	c=2 d=1.00239 t=30503
ji cheng 	繼承	c=3 d=1 t=38684
ji cheng 	集成	c=9 d=1.00005 t=38683
ji cheng hua 	集成化	c=2 d=1 t=17448
ji chu 	基礎	c=3 d=1 t=42312
ji cun qi 	寄存器	c=5 d=1.08827 t=29263
ji da 	極大	c=3 d=1 t=29075
ji de 	記得	c=2 d=1 t=42268
ji dian 	幾點	c=5 d=1.00245 t=30487
ji du 	極度	c=3 d=1.98511 t=15315
ji duan 	極端	c=1 d=1 t=12680
ji fang 	機房	c=2 d=1 t=43372
ji fei 	計費	c=2 d=1.1653 t=42545
ji ge 	幾個	c=5 d=1 t=43549
ji ge bie 	極個別	c=1 d=1 t=33631
ji ge yue 	幾個月	c=1 d=1 t=34094
ji gei 	寄給	c=1 d=1 t=31842
ji gong jin li 	急功近利	c=1 d=1 t=39279
ji hang 	幾行	c=1 d=1 t=19001
ji hao 	記號	c=1 d=1 t=34621
ji he 	集合	c=6 d=1.00043 t=37479
ji hua 	计划	c=7 d=1 t=40989
ji hui 	機會	c=3 d=1 t=23866
ji huo 	激活	c=1 d=1 t=16108
ji ji 	積極	c=1 d=1 t=20649
ji jin 	基金	c=10 d=1 t=38306
ji ke 	即可	c=10 d=1.6942 t=43848
ji ke yi 	即可以	c=2 d=1.19398 t=5464
ji lei 	積累	c=1 d=1 t=33878
ji lu 	記錄	c=13 d=1 t=42519
ji lun 	幾輪	c=1 d=1 t=15952
ji nian 	幾年	c=1 d=1 t=7028
ji nu le 	激怒了	c=1 d=1 t=25189
ji piao lu 	机票路	c=1 d=1 t=29276
ji qi 	及其	c=1 d=1 t=29718
ji qi 	機器	c=84 d=0.918512 t=44474
ji qi ren 	機器人	c=1 d=1 t=39884
ji qiao 	技巧	c=1 d=1 t=5622
ji qun 	集羣	c=1 d=1 t=1370
ji shi ge 	幾十個	c=1 d=1 t=41588
ji shou 	棘手	c=1 d=1 t=15361
ji shu 	技術	c=8 d=1 t=41785
ji shu 	計數	c=1 d=1 t=30352
ji shu qi 	計數器	c=5 d=1 t=27044
ji suan 	計算	c=43 d=1.00221 t=42019
ji suan tu 	计算图	c=3 d=1.65421 t=37311
ji tuan 	集團	c=1 d=1 t=15348
ji wan 	幾萬	c=0 d=0.1 t=10445
ji wan hang 	幾萬行	c=1 d=1 t=10446
ji xu 	繼續	c=1 d=1 t=15284
ji yao 	紀要	c=1 d=1 t=17375
ji yu 	基于	c=7 d=1 t=41029
ji zai 	擠在	c=1 d=1 t=43114
ji zhang 	幾張	c=1 d=1.09512 t=31016
ji zhang ka 	幾張卡	c=1 d=1 t=31007
ji zhi 	機制	c=4 d=1 t=42296
ji zhong 	集中	c=4 d=1 t=44351
ji zhun 	基準	c=2 d=1 t=42315
jia 	价	c=2 d=1.00601 t=32641
jia 	佳	c=1 d=1 t=40886
jia 	假	c=2 d=1 t=37813
jia 	加	c=51 d=2.51425 t=44132
jia 	嘉	c=3 d=1 t=30421
jia 	家	c=3 d=1 t=35643
jia ban 	加班	c=2 d=1.99501 t=38768
jia dao 	加到	c=5 d=1 t=42380
jia de 	家的	c=1 d=1 t=16984
jia ge 	價格	c=2 d=1.96561 t=43067
jia ge 	加個	c=17 d=1.00003 t=42357
jia gou 	架構	c=4 d=1 t=40124
jia jin qu 	加進去	c=1 d=1 t=18120
jia kao 	駕考	c=1 d=1 t=18641
jia kuai 	加快	c=2 d=1.68386 t=37171
jia le 	加了	c=13 d=1 t=38372
jia li 	家裏	c=1 d=1 t=40130
jia liu 	甲流	c=1 d=1 t=17421
jia ru 	加入	c=5 d=1.00002 t=27743
jia shang 	加上	c=2 d=1 t=34459
jia shang qu 	架上去	c=1 d=1 t=43471
jia she 	假設	c=13 d=1.21452 t=28383
jia shi 	駕駛	c=1 d=1 t=20360
jia su 	加速	c=12 d=1 t=42738
jia yong 	家用	c=1 d=1 t=41464
jia you 	加油	c=2 d=1 t=36979
jia zai 	加載	c=32 d=1.06833 t=44454
jia zhi 	價值	c=1 d=0.1 t=42123
jia zhi shi 	價值是	c=1 d=1 t=42124
jia zhi tou zi 	價值投資	c=2 d=1.89137 t=13149
jia zu qi ye 	家族企業	c=1 d=1 t=13117
jian 	件	c=2 d=1.97531 t=17600
jian 	健	c=17 d=2.98506 t=33068
jian 	尖	c=1 d=1 t=34281
jian 	见	c=1 d=1 t=17599
jian an 	漸暗	c=1 d=1 t=26898
jian cang 	建倉	c=1 d=1 t=15628
jian ce 	檢測	c=7 d=1.21654 t=37984
jian ce dian 	检测点	c=1 d=1 t=7657
jian cha 	檢查	c=47 d=1.07541 t=41911
jian chi 	堅持	c=3 d=1 t=16048
jian chi 	減持	c=1 d=1 t=16047
jian dan 	簡單	c=25 d=1.00194 t=34729
jian de 	兼得	c=1 d=1 t=40596
jian guo 	見過	c=1 d=1 t=8341
jian hua 	簡化	c=2 d=1 t=19284
jian ji 	剪輯	c=2 d=1.9802 t=26488
jian jie 	簡潔	c=2 d=1.00048 t=34813
jian ju 	間距	c=1 d=1 t=34921
jian li 	建立	c=3 d=1 t=14397
jian qing 	減輕	c=1 d=1 t=4849
jian rong 	兼容	c=10 d=2.26179 t=44269
jian rong xing 	兼容性	c=3 d=2.50837 t=10598
jian ru 	鍵入	c=2 d=1.90032 t=3336
jian shao 	减少	c=2 d=1 t=14495
jian shi 	檢視	c=2 d=1 t=25363
jian ti 	簡體	c=1 d=1 t=6277
jian ting 	監聽	c=1 d=1 t=36080
jian yan 	檢驗	c=2 d=1.00016 t=12062
jian yi 	建議	c=9 d=1 t=44388
jian zhuang 	健壯	c=1 d=1 t=11295
jiang 	姜	c=22 d=1.0008 t=43946
jiang 	将	c=8 d=1.03877 t=28665
jiang 	江	c=1 d=1 t=8802
jiang 	蒋	c=1 d=1 t=14333
jiang di 	降低	c=2 d=1 t=29076
jiang ji 	降級	c=8 d=1 t=38758
jiang li 	獎勵	c=1 d=1 t=20949
jiang shi 	殭屍	c=4 d=2.91209 t=25950
jiao 	叫	c=1 d=1 t=30031
jiao bei 	腳背	c=1 d=1 t=878
jiao ben 	腳本	c=55 d=1 t=43625
jiao cha 	交叉	c=1 d=1 t=25757
jiao cha shang 	交叉熵	c=1 d=1 t=4089
jiao che 	轎車	c=1 d=1 t=17597
jiao cheng 	教程	c=27 d=1 t=31638
jiao da 	較大	c=2 d=1 t=19437
jiao du 	角度	c=1 d=1 t=33756
jiao fu 	交付	c=7 d=1.0017 t=34581
jiao hao 	較好	c=2 d=1 t=19517
jiao hu 	交互	c=2 d=1 t=30388
jiao jing 	交警	c=1 d=1 t=25751
jiao liu 	交流	c=6 d=1 t=37232
jiao liu le 	交流了	c=1 d=1 t=17422
jiao shao 	較少	c=1 d=1 t=34407
jiao shou 	教授	c=6 d=1.86965 t=42486
jiao tong 	交通	c=1 d=1 t=546
jiao wei 	较为	c=2 d=1 t=10493
jiao xiao 	較小	c=1 d=1 t=4042
jiao yan 	校验	c=3 d=2.89299 t=10306
jiao yi 	交易	c=6 d=1.98511 t=37070
jiao yi liang 	交易量	c=3 d=1 t=32007
jiao yi ri 	交易日	c=1 d=1 t=4744
jiao yu 	教育	c=2 d=1.99005 t=41246
jiao zhi tou 	腳趾頭	c=1 d=1 t=36062
jie 	借	c=1 d=1 t=16946
jie 	姐	c=4 d=3.26879 t=3758
jie 	捷	c=5 d=1 t=33681
jie 	接	c=2 d=1.00345 t=3613
jie 	解	c=6 d=1 t=34591
jie chu 	解除	c=1 d=1 t=40614
jie dian 	節點	c=5 d=1.95123 t=42580
jie duan 	截斷	c=3 d=1.97531 t=21837
jie duan 	階段	c=5 d=1 t=29717
jie ge 	接個	c=1 d=1 t=28513
jie gou 	結構	c=7 d=1 t=39859
jie gou ti 	結構體	c=1 d=1 t=30462
jie guo 	結果	c=36 d=1.0034 t=43882
jie he 	結合	c=1 d=1 t=10398
jie hun 	結婚	c=1 d=1 t=21347
jie jie 	姐姐	c=1 d=1 t=39406
jie jin 	接近	c=1 d=1 t=27349
jie jue 	解決	c=56 d=1.99635 t=44258
jie kong jian 	解空间	c=6 d=2.74798 t=28830
jie kou 	接口	c=44 d=1.62467 t=42731
jie mian 	界面	c=2 d=1 t=19181
jie qu 	截去	c=3 d=1 t=26636
jie ru 	介入	c=1 d=1 t=8807
jie ru 	接入	c=2 d=1 t=11764
jie shao 	介紹	c=16 d=2.30428 t=34966
jie shi 	解釋	c=2 d=1 t=24429
jie shi qi 	解释器	c=3 d=1.00005 t=21431
jie shi quan 	解釋權	c=1 d=1 t=10510
jie shou 	接受	c=6 d=1 t=29846
jie shou 	接收	c=1 d=1 t=29859
jie shu 	結束	c=8 d=1.01259 t=16545
jie shuo 	解說	c=1 d=1 t=11467
jie tou 	接頭	c=1 d=0.970446 t=44474
jie tu 	截圖	c=5 d=1.2739 t=36865
jie xi 	解析	c=10 d=1 t=43651
jie xia lai 	接下來	c=4 d=1 t=28534
jie ya 	解壓	c=4 d=1.01363 t=23169
jie yi 	介意	c=1 d=1 t=1039
jie zai 	接在	c=1 d=1 t=18230
jie zhong 	接種	c=1 d=1 t=6100
